DATETIME,LATITUDE,LONGITUDE,HEIGHT,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,Location_Name
11/15/2024 10:00,-5.553,106.799,816,921,302.2,295.2,0.1,772,82,0,608.2,"Special Capital Region of Jakarta, Java"
11/15/2024 15:00,-5.743,106.436,671.5,933.6,302.4,296.5,0,698.6,78.8,0,646.2,"Special Capital Region of Jakarta, Java"
11/15/2024 20:00,-5.954,106.307,636.9,938.5,302.1,296.7,0.6,336.6,81.9,0,239.6,"Lontar, Banten"
11/16/2024 1:00,-5.707,106.537,730.9,927.4,302.7,296.2,0.4,189.3,80,0,0,"Special Capital Region of Jakarta, Java"
11/16/2024 6:00,-5.445,106.701,778.2,923.3,302.7,295.9,0.1,323.2,78,0,15.1,"Special Capital Region of Jakarta, Java"
11/16/2024 11:00,-5.434,106.726,638.7,938.2,302.4,296.9,0.2,466.4,77.9,0,653.3,"Special Capital Region of Jakarta, Java"
11/16/2024 16:00,-5.726,106.88,323.4,969.5,302,299.3,0.2,549.1,75.9,0,673.4,"Special Capital Region of Jakarta, Java"
11/16/2024 21:00,-6.175,107.002,225.8,968.2,301.8,299,0.2,410.6,78.5,138.3,122.9,"Bekasi, West Java"
11/17/2024 2:00,-6.271,106.842,109.7,974.5,301.1,298.9,0.8,225.4,80.5,180.4,0,"South Jakarta, Java"
11/17/2024 7:00,-6.207,106.753,100,983,301.1,299.6,0.2,291,77.6,123.6,26.1,"West Jakarta, Java"
